['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],pam_unix(cron:session):
['gkr-pam:', 'unlocked', 'login', 'keyring', 'pam_unix(cron:session):'],session
['unlocked', 'login', 'keyring', 'pam_unix(cron:session):', 'session'],opened
['login', 'keyring', 'pam_unix(cron:session):', 'session', 'opened'],for
['keyring', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(cron:session):
['closed', 'for', 'user', 'root', 'pam_unix(cron:session):'],session
['for', 'user', 'root', 'pam_unix(cron:session):', 'session'],opened
['user', 'root', 'pam_unix(cron:session):', 'session', 'opened'],for
['root', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],gkr-pam:
['closed', 'for', 'user', 'root', 'gkr-pam:'],unlocked
['for', 'user', 'root', 'gkr-pam:', 'unlocked'],login
['user', 'root', 'gkr-pam:', 'unlocked', 'login'],keyring
['root', 'gkr-pam:', 'unlocked', 'login', 'keyring'],pam_unix(cron:session):
['gkr-pam:', 'unlocked', 'login', 'keyring', 'pam_unix(cron:session):'],session
['unlocked', 'login', 'keyring', 'pam_unix(cron:session):', 'session'],opened
['login', 'keyring', 'pam_unix(cron:session):', 'session', 'opened'],for
['keyring', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],TTY=pts/0
['user', 'root', 'intern', ':', 'TTY=pts/0'],;
['root', 'intern', ':', 'TTY=pts/0', ';'],PWD=/home/intern/Desktop/ML
['intern', ':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/ML'],;
[':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/ML', ';'],USR=root
['TTY=pts/0', ';', 'PWD=/home/intern/Desktop/ML', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/ML', ';', 'USR=root', ';'],COMMAND=/bin/cp
['PWD=/home/intern/Desktop/ML', ';', 'USR=root', ';', 'COMMAND=/bin/cp'],-r
[';', 'USR=root', ';', 'COMMAND=/bin/cp', '-r'],.
['USR=root', ';', 'COMMAND=/bin/cp', '-r', '.'],../repos/jsoc-machine-learning/
[';', 'COMMAND=/bin/cp', '-r', '.', '../repos/jsoc-machine-learning/'],pam_unix(sudo:session):
['COMMAND=/bin/cp', '-r', '.', '../repos/jsoc-machine-learning/', 'pam_unix(sudo:session):'],session
['-r', '.', '../repos/jsoc-machine-learning/', 'pam_unix(sudo:session):', 'session'],opened
['.', '../repos/jsoc-machine-learning/', 'pam_unix(sudo:session):', 'session', 'opened'],for
['../repos/jsoc-machine-learning/', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],
['user', 'root', 'intern', ':', ''],;
['root', 'intern', ':', '', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],add
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', 'add'],--all
['USR=root', ';', 'COMMAND=/usr/bin/git', 'add', '--all'],pam_unix(sudo:session):
[';', 'COMMAND=/usr/bin/git', 'add', '--all', 'pam_unix(sudo:session):'],session
['COMMAND=/usr/bin/git', 'add', '--all', 'pam_unix(sudo:session):', 'session'],opened
['add', '--all', 'pam_unix(sudo:session):', 'session', 'opened'],for
['--all', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],opened
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'opened'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'opened', 'for'],user
['pam_unix(cron:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(cron:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(cron:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(cron:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(cron:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(cron:session):', 'session', 'closed', 'for'],user
['pam_unix(cron:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],pam_unix(sudo:session):
['closed', 'for', 'user', 'root', 'pam_unix(sudo:session):'],session
['for', 'user', 'root', 'pam_unix(sudo:session):', 'session'],closed
['user', 'root', 'pam_unix(sudo:session):', 'session', 'closed'],for
['root', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],TTY=pts/0
['user', 'root', 'intern', ':', 'TTY=pts/0'],;
['root', 'intern', ':', 'TTY=pts/0', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],commit
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', 'commit'],-m
['USR=root', ';', 'COMMAND=/usr/bin/git', 'commit', '-m'],all
[';', 'COMMAND=/usr/bin/git', 'commit', '-m', 'all'],files
['COMMAND=/usr/bin/git', 'commit', '-m', 'all', 'files'],are
['commit', '-m', 'all', 'files', 'are'],added
['-m', 'all', 'files', 'are', 'added'],from
['all', 'files', 'are', 'added', 'from'],ML
['files', 'are', 'added', 'from', 'ML'],pam_unix(sudo:session):
['are', 'added', 'from', 'ML', 'pam_unix(sudo:session):'],session
['added', 'from', 'ML', 'pam_unix(sudo:session):', 'session'],opened
['from', 'ML', 'pam_unix(sudo:session):', 'session', 'opened'],for
['ML', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],
['user', 'root', 'intern', ':', ''],;
['root', 'intern', ':', '', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', ''],pam_unix(sudo:session):
['USR=root', ';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):'],session
[';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session'],opened
['COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session', 'opened'],for
['', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],
['user', 'root', 'intern', ':', ''],;
['root', 'intern', ':', '', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', ''],pam_unix(sudo:session):
['USR=root', ';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):'],session
[';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session'],opened
['COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session', 'opened'],for
['', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],
['user', 'root', 'intern', ':', ''],;
['root', 'intern', ':', '', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', '', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', ''],pam_unix(sudo:session):
['USR=root', ';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):'],session
[';', 'COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session'],opened
['COMMAND=/usr/bin/git', '', 'pam_unix(sudo:session):', 'session', 'opened'],for
['', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],intern
['closed', 'for', 'user', 'root', 'intern'],:
['for', 'user', 'root', 'intern', ':'],TTY=pts/0
['user', 'root', 'intern', ':', 'TTY=pts/0'],;
['root', 'intern', ':', 'TTY=pts/0', ';'],PWD=/home/intern/Desktop/repos/jsoc-machine-learning
['intern', ':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning'],;
[':', 'TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';'],USR=root
['TTY=pts/0', ';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root'],;
[';', 'PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';'],COMMAND=/usr/bin/git
['PWD=/home/intern/Desktop/repos/jsoc-machine-learning', ';', 'USR=root', ';', 'COMMAND=/usr/bin/git'],push
[';', 'USR=root', ';', 'COMMAND=/usr/bin/git', 'push'],--set-upstream
['USR=root', ';', 'COMMAND=/usr/bin/git', 'push', '--set-upstream'],origin
[';', 'COMMAND=/usr/bin/git', 'push', '--set-upstream', 'origin'],master
['COMMAND=/usr/bin/git', 'push', '--set-upstream', 'origin', 'master'],pam_unix(sudo:session):
['push', '--set-upstream', 'origin', 'master', 'pam_unix(sudo:session):'],session
['--set-upstream', 'origin', 'master', 'pam_unix(sudo:session):', 'session'],opened
['origin', 'master', 'pam_unix(sudo:session):', 'session', 'opened'],for
['master', 'pam_unix(sudo:session):', 'session', 'opened', 'for'],user
['pam_unix(sudo:session):', 'session', 'opened', 'for', 'user'],root
['session', 'opened', 'for', 'user', 'root'],by
['opened', 'for', 'user', 'root', 'by'],(uid=0)
['for', 'user', 'root', 'by', '(uid=0)'],pam_unix(sudo:session):
['user', 'root', 'by', '(uid=0)', 'pam_unix(sudo:session):'],session
['root', 'by', '(uid=0)', 'pam_unix(sudo:session):', 'session'],closed
['by', '(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed'],for
['(uid=0)', 'pam_unix(sudo:session):', 'session', 'closed', 'for'],user
['pam_unix(sudo:session):', 'session', 'closed', 'for', 'user'],root
['session', 'closed', 'for', 'user', 'root'],System
['closed', 'for', 'user', 'root', 'System'],is
['for', 'user', 'root', 'System', 'is'],powering
['user', 'root', 'System', 'is', 'powering'],down.
['root', 'System', 'is', 'powering', 'down.'],New
['System', 'is', 'powering', 'down.', 'New'],seat
['is', 'powering', 'down.', 'New', 'seat'],seat0.
['powering', 'down.', 'New', 'seat', 'seat0.'],Watching
['down.', 'New', 'seat', 'seat0.', 'Watching'],system
['New', 'seat', 'seat0.', 'Watching', 'system'],buttons
['seat', 'seat0.', 'Watching', 'system', 'buttons'],on
['seat0.', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],Watching
['on', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],/dev/input/event7
['Watching', 'system', 'buttons', 'on', '/dev/input/event7'],(Logitech
['system', 'buttons', 'on', '/dev/input/event7', '(Logitech'],USB
['buttons', 'on', '/dev/input/event7', '(Logitech', 'USB'],Receiver)
['on', '/dev/input/event7', '(Logitech', 'USB', 'Receiver)'],Watching
['/dev/input/event7', '(Logitech', 'USB', 'Receiver)', 'Watching'],system
['(Logitech', 'USB', 'Receiver)', 'Watching', 'system'],buttons
['USB', 'Receiver)', 'Watching', 'system', 'buttons'],on
['Receiver)', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],Watching
['', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],Watching
['', '', '', '', 'Watching'],system
['', '', '', 'Watching', 'system'],buttons
['', '', 'Watching', 'system', 'buttons'],on
['', 'Watching', 'system', 'buttons', 'on'],
['Watching', 'system', 'buttons', 'on', ''],
['system', 'buttons', 'on', '', ''],
['buttons', 'on', '', '', ''],
['on', '', '', '', ''],
['', '', '', '', ''],
['', '', '', '', ''],pam_unix(gdm-launch-environment:session):
['', '', '', '', 'pam_unix(gdm-launch-environment:session):'],session
['', '', '', 'pam_unix(gdm-launch-environment:session):', 'session'],opened
['', '', 'pam_unix(gdm-launch-environment:session):', 'session', 'opened'],for
['', 'pam_unix(gdm-launch-environment:session):', 'session', 'opened', 'for'],user
['pam_unix(gdm-launch-environment:session):', 'session', 'opened', 'for', 'user'],gdm
['session', 'opened', 'for', 'user', 'gdm'],by
['opened', 'for', 'user', 'gdm', 'by'],(uid=0)
['for', 'user', 'gdm', 'by', '(uid=0)'],New
['user', 'gdm', 'by', '(uid=0)', 'New'],session
['gdm', 'by', '(uid=0)', 'New', 'session'],
['by', '(uid=0)', 'New', 'session', ''],of
['(uid=0)', 'New', 'session', '', 'of'],user
['New', 'session', '', 'of', 'user'],
['session', '', 'of', 'user', ''],pam_unix(systemd-user:session):
['', 'of', 'user', '', 'pam_unix(systemd-user:session):'],session
['of', 'user', '', 'pam_unix(systemd-user:session):', 'session'],opened
['user', '', 'pam_unix(systemd-user:session):', 'session', 'opened'],for
['', 'pam_unix(systemd-user:session):', 'session', 'opened', 'for'],user
['pam_unix(systemd-user:session):', 'session', 'opened', 'for', 'user'],
['session', 'opened', 'for', 'user', ''],by
['opened', 'for', 'user', '', 'by'],(uid=0)
['for', 'user', '', 'by', '(uid=0)'],Registered
['user', '', 'by', '(uid=0)', 'Registered'],Authentication
['', 'by', '(uid=0)', 'Registered', 'Authentication'],Agent
['by', '(uid=0)', 'Registered', 'Authentication', 'Agent'],for
['(uid=0)', 'Registered', 'Authentication', 'Agent', 'for'],
['Registered', 'Authentication', 'Agent', 'for', ''],(system
['Authentication', 'Agent', 'for', '', '(system'],bus
['Agent', 'for', '', '(system', 'bus'],name
['for', '', '(system', 'bus', 'name'],
['', '(system', 'bus', 'name', ''],[/usr/bin/gnome-shell],
['(system', 'bus', 'name', '', '[/usr/bin/gnome-shell],'],object
['bus', 'name', '', '[/usr/bin/gnome-shell],', 'object'],path
['name', '', '[/usr/bin/gnome-shell],', 'object', 'path'],/org/freedesktop/PolicyKit1/AuthenticationAgent,
['', '[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,'],locale
['[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale'],en_GB.UTF-8)
['object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)'],pam_unix(gdm-password:session):
['path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):'],session
['/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session'],opened
['locale', 'en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session', 'opened'],for
['en_GB.UTF-8)', 'pam_unix(gdm-password:session):', 'session', 'opened', 'for'],user
['pam_unix(gdm-password:session):', 'session', 'opened', 'for', 'user'],intern
['session', 'opened', 'for', 'user', 'intern'],by
['opened', 'for', 'user', 'intern', 'by'],(uid=0)
['for', 'user', 'intern', 'by', '(uid=0)'],New
['user', 'intern', 'by', '(uid=0)', 'New'],session
['intern', 'by', '(uid=0)', 'New', 'session'],
['by', '(uid=0)', 'New', 'session', ''],of
['(uid=0)', 'New', 'session', '', 'of'],user
['New', 'session', '', 'of', 'user'],
['session', '', 'of', 'user', ''],pam_unix(systemd-user:session):
['', 'of', 'user', '', 'pam_unix(systemd-user:session):'],session
['of', 'user', '', 'pam_unix(systemd-user:session):', 'session'],opened
['user', '', 'pam_unix(systemd-user:session):', 'session', 'opened'],for
['', 'pam_unix(systemd-user:session):', 'session', 'opened', 'for'],user
['pam_unix(systemd-user:session):', 'session', 'opened', 'for', 'user'],
['session', 'opened', 'for', 'user', ''],by
['opened', 'for', 'user', '', 'by'],(uid=0)
['for', 'user', '', 'by', '(uid=0)'],Registered
['user', '', 'by', '(uid=0)', 'Registered'],Authentication
['', 'by', '(uid=0)', 'Registered', 'Authentication'],Agent
['by', '(uid=0)', 'Registered', 'Authentication', 'Agent'],for
['(uid=0)', 'Registered', 'Authentication', 'Agent', 'for'],
['Registered', 'Authentication', 'Agent', 'for', ''],(system
['Authentication', 'Agent', 'for', '', '(system'],bus
['Agent', 'for', '', '(system', 'bus'],name
['for', '', '(system', 'bus', 'name'],
['', '(system', 'bus', 'name', ''],[/usr/bin/gnome-shell],
['(system', 'bus', 'name', '', '[/usr/bin/gnome-shell],'],object
['bus', 'name', '', '[/usr/bin/gnome-shell],', 'object'],path
['name', '', '[/usr/bin/gnome-shell],', 'object', 'path'],/org/freedesktop/PolicyKit1/AuthenticationAgent,
['', '[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,'],locale
['[/usr/bin/gnome-shell],', 'object', 'path', '/org/freedesktop/PolicyKit1/AuthenticationAgent,', 'locale'],en_GB.UTF-8)
